rep,frame,t,right_angle,right_elbow_dx_norm,right_dy_norm,left_angle,left_elbow_dx_norm,left_dy_norm,shoulder_width
6,4,0.2318,4.9,0.3141,0.2892,19.1,0.1826,0.4288,0.2304
6,5,0.2763,4.8,0.3207,0.2815,19.3,0.1742,0.4255,0.2305
6,6,0.3231,5.2,0.3217,0.2769,19.1,0.1794,0.4195,0.2292
6,7,0.3684,5.5,0.3315,0.2819,18.9,0.1844,0.4065,0.2286
6,8,0.4159,5.6,0.3398,0.2904,18.9,0.1911,0.4167,0.2279
6,9,0.4632,5.0,0.355,0.2946,19.0,0.1958,0.4242,0.2258
6,10,0.5084,4.7,0.3608,0.2874,19.0,0.1961,0.4258,0.2253
6,11,0.5567,2.6,0.4276,0.0932,18.9,0.2068,0.4224,0.2238
6,12,0.6026,4.5,0.448,-0.2621,17.9,0.2608,0.4386,0.2151
6,13,0.6465,21.5,0.3466,-0.6675,17.4,0.3291,0.4987,0.1998
6,14,0.6926,51.9,0.1962,-0.938,21.1,0.3283,0.5912,0.1948
6,15,0.7389,58.6,0.1598,-0.9977,22.3,0.3281,0.6243,0.1926
6,16,0.7865,67.7,0.1611,-0.9913,27.9,0.3217,0.7536,0.1914
6,17,0.8324,29.1,0.1606,-0.9525,48.6,0.3011,1.0542,0.1964
6,18,0.8795,21.3,0.43,-0.6435,36.3,0.2529,0.9786,0.2065
6,19,0.9258,13.5,0.5128,-0.4984,1.8,0.285,-0.0033,0.203
6,20,0.9724,9.5,0.5369,-0.2681,14.4,0.3599,-0.661,0.1953
6,21,1.0182,8.1,0.5168,-0.1003,32.4,0.3233,-1.0252,0.201
6,22,1.0646,7.9,0.5133,-0.0911,35.9,0.3011,-1.0763,0.2041
6,23,1.1126,6.6,0.49,-0.0392,68.6,0.301,-1.1082,0.2068
6,24,1.1579,5.7,0.4838,-0.0213,78.6,0.3267,-1.0443,0.2051
6,25,1.2044,4.6,0.476,-0.0223,52.1,0.3778,-0.8948,0.2024
6,26,1.2526,0.7,0.4767,0.0758,21.9,0.4547,-0.7124,0.1982
6,27,1.2981,0.2,0.4595,0.0621,7.2,0.4401,-0.5076,0.2009
6,28,1.3448,0.6,0.4449,0.012,2.0,0.4041,-0.3892,0.2063
6,29,1.3924,1.2,0.4388,-0.0089,0.8,0.3868,-0.3447,0.2094
6,30,1.4384,2.3,0.4214,-0.0263,2.1,0.3739,-0.268,0.2113
6,31,1.486,3.1,0.4136,-0.0252,2.9,0.3654,-0.2488,0.212
6,32,1.5316,4.0,0.4051,-0.0271,5.2,0.3487,-0.1591,0.2147
6,33,1.5813,7.7,0.336,-0.0182,10.2,0.2799,-0.0529,0.2303
6,34,1.6266,8.3,0.3109,-0.0255,12.4,0.2626,-0.003,0.235
7,0,0.0465,10.8,0.2254,0.1479,11.4,0.238,0.2651,0.2466
7,1,0.0934,10.6,0.2262,0.1547,11.4,0.2378,0.2725,0.2471
7,2,0.1374,10.5,0.2275,0.1612,11.4,0.2379,0.2805,0.2472
7,3,0.1847,10.5,0.2269,0.164,11.4,0.2388,0.2865,0.2474
7,4,0.2314,10.5,0.2261,0.165,11.4,0.2397,0.2898,0.2475
7,5,0.2762,10.2,0.2266,0.165,11.4,0.2396,0.292,0.2475
7,6,0.3234,10.0,0.2277,0.1664,11.4,0.2395,0.2927,0.2474
7,7,0.3707,9.9,0.2279,0.168,11.5,0.2393,0.2936,0.2474
7,8,0.4169,9.7,0.2336,0.1642,11.5,0.2427,0.2944,0.2468
7,9,0.4623,9.7,0.2551,0.1478,11.6,0.2473,0.2919,0.2464
7,10,0.5083,9.6,0.2663,0.1396,11.7,0.2501,0.2898,0.2462
7,11,0.5564,8.9,0.29,0.1049,11.8,0.2608,0.2923,0.2444
7,12,0.603,7.4,0.3675,-0.2509,12.1,0.2961,0.336,0.2293
7,13,0.6497,21.2,0.2575,-0.6002,14.3,0.3256,0.4559,0.219
7,14,0.6942,29.9,0.2735,-0.714,18.1,0.3327,0.5663,0.2163
7,15,0.743,17.3,0.4443,-0.4316,26.5,0.3009,0.6491,0.2155
7,16,0.788,11.7,0.5202,-0.2861,5.0,0.2304,-0.1023,0.1966
7,17,0.8354,5.0,0.5146,0.0163,10.5,0.2603,-0.8034,0.194
